filters,adaboost.pickle,forest.pickle,gaussiannb.pickle,knn.pickle,qda.pickle,tree.pickle,datapoints,repetitions,total_inferences
raw,20.949321900960058,7.136817822000012,2.1497779809869826,3.542366605019197,3.5001699200365692,0.9657678039511666,29,10,290
start50ms,10.989910111064091,7.071804306004196,2.1384570660302415,3.66771966998931,3.4758131010457873,0.9608398409327492,29,10,290
start500ms,20.977712686988525,7.077881259960122,2.129636130994186,3.8424703679047525,3.494823958957568,0.9644268141128123,29,10,290
start200ms,20.900409262045287,21.962442348944023,2.1498419800773263,3.8504423080012202,3.5063568729674444,0.9702367699937895,29,10,290
start1000ms,20.96064781199675,21.957456385018304,2.147126000956632,3.8659321930026636,3.497025942080654,0.9625568269984797,29,10,290
start100ms,20.890822332003154,7.093715141061693,2.1445720189949498,3.8678091790061444,3.512121829087846,0.9668117959517986,29,10,290
