filters,adaboost.pickle,forest.pickle,gaussiannb.pickle,knn.pickle,qda.pickle,tree.pickle,datapoints,repetitions,total_inferences
raw,21.027808378916234,7.113655852153897,2.1782960689160973,3.58015483408235,3.5328500049654394,0.9702972290106118,29,10,290
start50ms,10.926536901155487,7.131723104976118,2.163221966009587,3.708183741895482,3.5018268791027367,0.9667521649971604,29,10,290
start500ms,20.9167829870712,7.1032508329954,2.1628848349209875,3.8743595008272678,3.5517463597934693,0.9805420211050659,29,10,290
start200ms,21.027701121987775,22.2745585499797,2.163684598170221,3.9082259840797633,3.533063097158447,0.9784679291769862,29,10,290
start1000ms,20.86489719012752,22.124163291882724,2.172434333944693,3.8980986499227583,3.5174898570403457,0.9680479019880295,29,10,290
start100ms,20.974635211983696,7.090049004880711,2.1680752250831574,3.8866543679032475,3.5453094590920955,0.9737288060132414,29,10,290
