filters,adaboost.pickle,forest.pickle,gaussiannb.pickle,knn.pickle,qda.pickle,tree.pickle,datapoints,repetitions,total_inferences
raw,21.196548180188984,7.152048296062276,2.1528074459638447,3.597466974053532,3.5123396329581738,0.9880378660745919,29,10,290
start50ms,11.01466292096302,7.183370326878503,2.179612330859527,3.715173257049173,3.520624698838219,1.0501034560147673,29,10,290
start500ms,20.968351050978526,7.146211774088442,2.1447326350025833,3.8739272120874375,3.5363806718960404,0.9683860670775175,29,10,290
start200ms,21.06035326514393,22.209129625931382,2.153228665003553,3.8842362619470805,3.521008930867538,0.9755420559085906,29,10,290
start1000ms,21.198794070864096,22.284182966919616,2.148981778183952,3.871336509939283,3.5187610818538815,0.9683761440683156,29,10,290
start100ms,20.99234004691243,7.195072197122499,2.157214774051681,3.9270092581864446,3.5102912310976535,0.9730591350235045,29,10,290
