model,raw,start1000ms,start100ms,start200ms,start500ms,start50ms
knn.pickle,1.0,1.0,1.0,1.0,1.0,1.0
qda.pickle,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
adaboost.pickle,1.0,1.0,1.0,1.0,1.0,1.0
tree.pickle,1.0,0.8333333333333334,1.0,1.0,1.0,0.8333333333333334
forest.pickle,1.0,0.8333333333333334,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334
gaussiannb.pickle,0.6666666666666666,0.8333333333333334,0.8333333333333334,1.0,0.8333333333333334,0.8333333333333334
