filters,adaboost.pickle,forest.pickle,gaussiannb.pickle,knn.pickle,qda.pickle,tree.pickle,datapoints,repetitions,total_inferences
raw,20.861165127018467,7.078576763160527,2.1820632088929415,3.576149109052494,3.537858400028199,0.9649950179737061,29,10,290
start50ms,10.899187277071178,7.108562625013292,2.160647387150675,3.715172143885866,3.4963537380099297,0.9606990600004792,29,10,290
start500ms,21.086581879062578,7.129547528922558,2.187285212101415,3.993331164121628,3.5490343850106,0.9762519549112767,29,10,290
start200ms,20.938588217832148,22.231792757986113,2.157670454820618,3.8955249099526554,3.5440654668491334,0.9716000012122095,29,10,290
start1000ms,20.802106440998614,22.132391745923087,2.1666024159640074,3.893313973909244,3.5163787088822573,0.9587391049135476,29,10,290
start100ms,20.929849681910127,7.097769996151328,2.1710084010846913,3.901926956139505,3.582437261007726,0.9947488538455218,29,10,290
