total_inferences=2900,adaboost.pickle,forest.pickle,gaussiannb.pickle,knn.pickle,qda.pickle,tree.pickle
raw,0.07206676553420979237,0.02439177464561312000,0.00741681589371653242,0.01228864841970037092,0.01212780947495926270,0.00332742384831613775
start1000ms,0.07196599856203679535,0.07575921164873730684,0.00740144429314913699,0.01332008413850040845,0.01212921997588448965,0.00332360064281664530
start100ms,0.07189929889575256972,0.02443125094877202780,0.00745143182635917521,0.01337300156182930598,0.01219745663869804819,0.00334908869342300398
start200ms,0.07205363264038419646,0.07586290119059287129,0.00740910776637912060,0.01334804277971451091,0.01213987554166594436,0.00333102337763130927
start500ms,0.07195027920638275010,0.02435493335814279542,0.00744513834352958283,0.01333572502549063357,0.01216291311967732623,0.00333210927996270600
start50ms,0.03764927814269020817,0.02440887006124128206,0.00745093351631457429,0.01269578612814978476,0.01205740707003158212,0.00333746926413431514
