filters,adaboost.pickle,forest.pickle,gaussiannb.pickle,knn.pickle,qda.pickle,tree.pickle,datapoints,repetitions,total_inferences
raw,20.798558454029262,7.009678799076937,2.135829910985194,3.551592612056993,3.5032808809773996,0.9564746860414743,29,10,290
start50ms,10.821086065960117,7.122075768071227,2.236427158000879,3.698727492010221,3.481798883061856,0.9626686060801148,29,10,290
start500ms,20.684163837926462,6.977849527029321,2.140865731984377,3.8416254349285737,3.5003786620218307,0.9616025870200247,29,10,290
start200ms,20.76000135904178,21.67611671902705,2.146716588991694,3.861772160977125,3.507546445936896,0.9712794760707766,29,10,290
start1000ms,20.71174280892592,21.677500742021948,2.130440606037155,3.846303088008426,3.500183343072422,0.9529225580627099,29,10,290
start100ms,20.93848368898034,7.00080652104225,2.15040040994063,3.8428569530369714,3.5268620619317517,0.9622874669730663,29,10,290
