filters,adaboost.pickle,forest.pickle,gaussiannb.pickle,knn.pickle,qda.pickle,tree.pickle,datapoints,repetitions,total_inferences
raw,20.785018074093387,7.022884991019964,2.1267006429843605,3.5401127790100873,3.5107429961208254,0.9572216370142996,29,10,290
start50ms,10.80213382281363,7.081571490038186,2.12926160893403,3.6389729930087924,3.4868441559374332,0.9470617091283202,29,10,290
start500ms,20.738504197914153,6.9971351060085,2.1110547380521894,3.831277495017275,3.552460634149611,0.957445623818785,29,10,290
start200ms,20.855271130101755,21.954414742067456,2.1150256898254156,3.8482683398760855,3.481224154122174,0.9545886379200965,29,10,290
start1000ms,20.70899910805747,21.845615413039923,2.1027747690677643,3.87501910305582,3.490378057816997,0.9552456261590123,29,10,290
start100ms,20.68234821385704,7.147823795909062,2.1505263899452984,3.880258034914732,3.4973489861004055,0.9911023448221385,29,10,290
