filters,adaboost.pickle,forest.pickle,gaussiannb.pickle,knn.pickle,qda.pickle,tree.pickle,datapoints,repetitions,total_inferences
raw,21.09633739409037,7.15506948903203,2.15836946782656,3.592887121019885,3.5322085870429873,0.9626940749585629,29,10,290
start50ms,11.067875680979341,7.13106882898137,2.167920449981466,3.745461110956967,3.520198754966259,0.9634000919759274,29,10,290
start500ms,20.915884494083002,7.1945294928736985,2.164718508021906,3.8879991529975086,3.532439725007862,0.9664910859428346,29,10,290
start200ms,21.079040901968256,22.275884069036692,2.185412421124056,3.914666044060141,3.5467857220210135,0.9646031260490417,29,10,290
start1000ms,21.039043702883646,22.334086232818663,2.1715485751628876,3.882799374870956,3.5385598689317703,0.9745350799057633,29,10,290
start100ms,20.871281230123714,7.157913260161877,2.1914714691229165,3.9040903160348535,3.6107824160717428,0.971346118953079,29,10,290
