filters,adaboost.pickle,forest.pickle,gaussiannb.pickle,knn.pickle,qda.pickle,tree.pickle,datapoints,repetitions,total_inferences
raw,20.640098134987056,6.938502049073577,2.140347821172327,3.5155087260063738,3.4793029471766204,0.9548426731489599,29,10,290
start50ms,10.923164427978918,6.945659894961864,2.1344438281375915,3.619097985094413,3.4651419890578836,0.9547956590540707,29,10,290
start500ms,20.63081768178381,6.935615886934102,2.214666272047907,3.808802683837712,3.4816988420207053,0.9619646009523422,29,10,290
start200ms,20.82106904895045,21.53935944987461,2.1174858801532537,3.7995536939706653,3.4788787979632616,0.9582326079253107,29,10,290
start1000ms,20.78475895896554,21.606547637842596,2.111341885989532,3.8170845119748265,3.4894906701520085,0.9592155860736966,29,10,290
start100ms,20.78131376206875,6.939958540024236,2.1245857740286738,3.8210584248881787,3.4959215889684856,0.9622105550952256,29,10,290
