filters,adaboost.pickle,forest.pickle,gaussiannb.pickle,knn.pickle,qda.pickle,tree.pickle,datapoints,repetitions,total_inferences
raw,157.04179550800472,417.6928919949569,56.56625699903816,87.82250355300494,54.614941930864006,18.340276836883277,545,10,5450
start50ms,959.1947579870466,134.31336643989198,56.51443330710754,94.7868561791256,54.77827101596631,18.133982820203528,545,10,5450
start500ms,207.9509433801286,419.1616767589003,56.43877330981195,87.90248572314158,54.55000983993523,18.277236671186984,545,10,5450
start200ms,964.1229148770217,420.4926329969894,57.15882313204929,90.93954148213379,54.685874758986756,18.342661822913215,545,10,5450
start1000ms,1401.5592619690578,419.3543169761542,56.75536108203232,88.10599089507014,54.40901683503762,18.107352442108095,545,10,5450
start100ms,969.1375263161026,420.46479430096224,56.67584351194091,92.6186003589537,54.76121290610172,18.3068372302223,545,10,5450
