filters,adaboost.pickle,forest.pickle,gaussiannb.pickle,knn.pickle,qda.pickle,tree.pickle,datapoints,repetitions,total_inferences
raw,154.60517668700777,408.9754224938806,55.327092800987884,86.6149490068201,54.40466612414457,18.193120211130008,545,10,5450
start50ms,951.8914495299105,132.75444557704031,55.86802954389714,93.50274789100513,54.08538473304361,18.133388922084123,545,10,5450
start500ms,206.28045195597224,412.8146646330133,55.98905872507021,87.06962833413854,54.103108891053125,18.10496449493803,545,10,5450
start200ms,953.6628643199801,411.0719740090426,56.27054635994136,89.4956158848945,54.28318959590979,18.19990778202191,545,10,5450
start1000ms,1382.9308871140238,411.44579670601524,56.125337725970894,87.1793832660187,54.114263305906206,18.145305091049522,545,10,5450
start100ms,960.935565761989,411.20094189210795,56.22319811000489,91.16814019810408,54.71080066706054,18.265851601026952,545,10,5450
