filters,adaboost.pickle,forest.pickle,gaussiannb.pickle,knn.pickle,qda.pickle,tree.pickle,datapoints,repetitions,total_inferences
raw,154.0470632360084,405.85032938607037,55.520586566999555,86.87933451798744,53.59332145389635,17.926633579074405,545,10,5450
start50ms,941.8404121230124,131.0759763539536,55.59027679206338,93.60419165994972,53.66860083700158,17.93484646093566,545,10,5450
start500ms,204.35799781407695,407.6486507119844,55.38342215004377,86.94581117597409,53.670160345034674,17.99506342690438,545,10,5450
start200ms,946.9934410350397,407.54447841993533,56.05992802395485,94.8031059410423,53.874072427046485,17.975752055994235,545,10,5450
start1000ms,1379.828588202945,407.0411671989132,56.064718157052994,86.90200182504486,53.9884584560059,18.004508425015956,545,10,5450
start100ms,953.1006635460071,406.7381812270032,56.26387981104199,91.19372044096235,53.830620464053936,17.955916835926473,545,10,5450
