filters,adaboost.pickle,forest.pickle,gaussiannb.pickle,knn.pickle,qda.pickle,tree.pickle,datapoints,repetitions,total_inferences
raw,154.34693677700125,410.23395036091097,55.53455334797036,87.31893435306847,53.04148491995875,18.168888321029954,545,10,5450
start50ms,951.9966479279101,132.2141747979913,55.43294255598448,93.26132570602931,53.014673514990136,18.140592595096678,545,10,5450
start500ms,207.1283277849434,412.84234073292464,55.266151005984284,87.05030582298059,52.95536907296628,18.380175599013455,545,10,5450
start200ms,951.6941949100001,411.4479010429932,55.55010483006481,89.60516643291339,53.48249599803239,18.227509628981352,545,10,5450
start1000ms,1389.205180567922,411.5871318440186,55.13751131796744,87.24202188500203,58.18995599600021,18.079360640025698,545,10,5450
start100ms,961.67958980205,412.0525086040143,55.47589781298302,90.9336618760135,53.32269197597634,18.095195117988624,545,10,5450
