model,raw,start1000ms,start100ms,start200ms,start500ms,start50ms
knn.pickle,0.387080364039529,0.730567587685078,0.5521215418302342,0.6092511539280281,0.6821246556154394,0.4305525572617638
qda.pickle,0.07171113542631091,0.2656700378233028,0.09187903499830107,0.11880403933733746,0.03757798165137615,0.062244177840508126
adaboost.pickle,0.43001827346307964,0.7551230822702281,0.5846434865347165,0.5420483315989458,0.7098177052305493,0.479659666059308
tree.pickle,0.43001827346307964,0.7413876643234442,0.5860064790804164,0.7062091452365746,0.7636108121675362,0.4578588555072887
forest.pickle,0.43653044203502916,0.749413012698455,0.5657644197042719,0.7276593344423092,0.7544947407332729,0.5429659140830194
gaussiannb.pickle,0.3867772079505195,0.6331323024618715,0.5317983894054026,0.6047584664490764,0.6479472805248204,0.4351315827989652
