filters,adaboost.pickle,forest.pickle,gaussiannb.pickle,knn.pickle,qda.pickle,tree.pickle,datapoints,repetitions,total_inferences
raw,153.2791800510604,409.7480386600364,55.10431037109811,86.87411964905914,53.04643470502924,18.194992412929423,545,10,5450
start50ms,943.6784278289415,131.4451940630097,55.46927922393661,93.62297867890447,53.222293901024386,18.068942515994422,545,10,5450
start500ms,204.8582335889805,412.0455236720154,55.44710096193012,87.43597572098952,53.72809776396025,18.358404243015684,545,10,5450
start200ms,949.6301179389702,409.85810583701823,55.43066434189677,90.08807240298484,53.95890496298671,18.34848209307529,545,10,5450
start1000ms,1377.2762448169524,410.6211357470602,55.95804721699096,87.31162233510986,53.3025095500052,18.046432101982646,545,10,5450
start100ms,950.7718781550648,410.94199114094954,55.72716610005591,91.46323650097474,53.267364492989145,18.172747222939506,545,10,5450
