filters,adaboost.pickle,forest.pickle,gaussiannb.pickle,knn.pickle,qda.pickle,tree.pickle,datapoints,repetitions,total_inferences
raw,156.88922945805825,418.26207879092544,56.469963538926095,88.89863126492128,54.31903256685473,18.311888443073258,545,10,5450
start50ms,966.1551837788429,134.25962784001604,56.10481682792306,94.9245471758768,54.40056388103403,18.37905817083083,545,10,5450
start500ms,208.52890366199426,416.66842591413297,56.08903053984977,88.44237716402858,54.15489886607975,18.44267066894099,545,10,5450
start200ms,972.3589354529977,418.4233454100322,56.456304762046784,91.20826717489399,54.366563262883574,18.623923498904333,545,10,5450
start1000ms,1403.9525022339076,422.87127649015747,56.74846478411928,89.2039035288617,54.23169447109103,18.352951473090798,545,10,5450
start100ms,972.1996156380046,419.54010508814827,57.1579614339862,93.09654685296118,54.459680940024555,18.696508259978145,545,10,5450
