filters,adaboost.pickle,forest.pickle,gaussiannb.pickle,knn.pickle,qda.pickle,tree.pickle,datapoints,repetitions,total_inferences
raw,156.01640434982255,410.2373462340329,55.831441656220704,87.47012530500069,54.034428265178576,18.32592543703504,545,10,5450
start50ms,950.186392158037,132.8967166559305,55.70841073105112,94.33657050412148,53.52813411480747,18.04797072499059,545,10,5450
start500ms,206.52255485393107,413.8691672179848,55.535474485950544,87.91443157196045,53.62967675901018,18.183932841056958,545,10,5450
start200ms,945.353284342913,413.03942614304833,56.10544870584272,90.59551171399653,53.43514455109835,18.16551522887312,545,10,5450
start1000ms,1388.3839972671121,411.72408870607615,55.662140638101846,87.91684883018024,53.45130309998058,18.166918373899534,545,10,5450
start100ms,953.5198823108803,414.4479460599832,56.109293408924714,92.28083889302798,54.02618503617123,18.169505352154374,545,10,5450
