filters,adaboost.pickle,forest.pickle,gaussiannb.pickle,knn.pickle,qda.pickle,tree.pickle,datapoints,repetitions,total_inferences
raw,154.474908655975,404.751627902966,55.37277453416027,86.63673958112486,53.39953521103598,18.299179022898898,545,10,5450
start50ms,958.0734924629796,130.96177589101717,55.55801613815129,92.96501194499433,53.44992785388604,18.17920558899641,545,10,5450
start500ms,206.32702826312743,406.8255421658978,55.43223928613588,86.79841944598593,53.24106705212034,18.21382808801718,545,10,5450
start200ms,948.9718055778649,405.97988103702664,55.473068268969655,89.16636008885689,53.18111036112532,18.415713363094255,545,10,5450
start1000ms,1386.037722507026,406.83227018406615,55.5547723590862,87.10067081311718,53.30860359617509,18.291741912951693,545,10,5450
start100ms,959.7562393650878,406.90865716920234,55.750934734009206,90.34045167802833,53.5245758399833,18.429560082033277,545,10,5450
