model,raw,start1000ms,start100ms,start200ms,start500ms,start50ms
knn.pickle,0.36114831656791146,0.6806256109481916,0.5095074912215455,0.5663950198075834,0.6318948432760364,0.4166260773732159
qda.pickle,0.09770642201834862,0.25455564043799334,0.07703703703703704,0.08633093525179855,0.0512,0.06461538461538462
adaboost.pickle,0.4287762416794675,0.7036359013475718,0.5312298224374497,0.51587136027814,0.6448051948051947,0.4447069299264421
tree.pickle,0.4287762416794675,0.6862770562770563,0.5381723950639845,0.6638848983500936,0.7149567686153052,0.44522963104736046
forest.pickle,0.43151515151515146,0.6986695694242864,0.5175835815954982,0.6777209719832671,0.7056776556776556,0.5280200459312528
gaussiannb.pickle,0.40457785479306274,0.6029944169506355,0.5200088511621761,0.5763406855467779,0.6110337308993524,0.44777397543354985
