total_inferences=54500,adaboost.pickle,forest.pickle,gaussiannb.pickle,knn.pickle,qda.pickle,tree.pickle
raw,0.02844307744656604173,0.07549915649190784561,0.01021447254345675404,0.01603724161407551335,0.00987173506331954706,0.00334370248189084932
start1000ms,0.25465684925864340293,0.07581432591322083414,0.01025996337404021762,0.01608415271184373066,0.00995559565822696363,0.00332984160968965472
start100ms,0.17628472533068456629,0.07584757476543511900,0.01029083393126674871,0.01681706405020267497,0.00989952036050370521,0.00334922197123416979
start200ms,0.17499051334320592233,0.07574985131737989319,0.01027646267904318983,0.01664048660021283724,0.00989196919037003443,0.00335128654506048956
start500ms,0.03791705086117679036,0.07574160827974438237,0.01020358836417590599,0.01605063013604269770,0.00985472841715705032,0.00334320509570454252
start50ms,0.17476352114825713380,0.02434895671245539475,0.01022773595073969526,0.01723326263038885836,0.00986279221337049358,0.00332631158281049321
