filters,adaboost.pickle,forest.pickle,gaussiannb.pickle,knn.pickle,qda.pickle,tree.pickle,datapoints,repetitions,total_inferences
raw,152.95790522103198,407.58693271898665,55.041471699019894,86.48595070815645,53.4193484459538,17.828624373069033,545,10,5450
start50ms,939.3513960151467,132.1938806460239,55.09943210706115,92.8205164570827,53.335038027958944,17.892418428091332,545,10,5450
start500ms,204.02458754600957,408.4414480540436,54.80840405100025,86.6283241531346,53.19879679195583,17.885574192972854,545,10,5450
start200ms,936.9732793299481,409.81773331505246,55.302254679147154,89.29720170097426,53.54403133993037,17.970956902951002,545,10,5450
start1000ms,1371.6181056571659,409.5911733661778,54.93893451988697,86.82100109802559,53.79373768600635,17.973958034068346,545,10,5450
start100ms,951.6100933819544,410.52447773795575,55.06418891204521,90.42239374807104,53.48231018404476,17.840882590971887,545,10,5450
