filters,adaboost.pickle,forest.pickle,gaussiannb.pickle,knn.pickle,qda.pickle,tree.pickle,datapoints,repetitions,total_inferences
raw,156.48912089387886,421.36541026621126,55.92030210397206,89.02838002797216,54.136367327999324,18.642256625927985,545,10,5450
start50ms,962.2437427681871,134.90298256394453,56.06597208813764,95.38806715910323,54.039287748979405,18.373575035948306,545,10,5450
start500ms,210.50024308497086,417.60021138517186,55.70591133181006,88.57158330199309,53.851513352943584,18.362827489851043,545,10,5450
start200ms,967.2221394199878,420.691418586066,56.260072903940454,91.70767688890919,54.300933617167175,18.37469432898797,545,10,5450
start1000ms,1398.0057942599524,420.81240505189635,56.22271608398296,88.80287831905298,53.790420377161354,18.3078392338939,545,10,5450
start100ms,974.8064762451686,420.87322149588726,56.40208541904576,93.01240018894896,54.138417141046375,18.599593139020726,545,10,5450
