filters,adaboost.pickle,forest.pickle,gaussiannb.pickle,knn.pickle,qda.pickle,tree.pickle,repetitions
raw,15.32064729067497,57.50105155876372,1.9288389144930989,1.058614618028514,1.9302508998662233,2.208588435081765,50
start50ms,127.18471596785821,16.369504016591236,1.9698105559218675,1.0451997452182695,1.929798910743557,6.065049291821197,50
start500ms,27.618520645657554,58.66397963988129,1.9362546863267198,1.044512755353935,1.916691824910231,1.4461603004019707,50
start200ms,133.37442876549903,95.31029067188501,1.9201982900267467,1.0402882277267054,1.904215403017588,2.6820924289058894,50
start1000ms,142.54366754367948,63.86651852412615,1.9304166121874005,1.0435927717480808,1.9236056642839685,1.5117999342037365,50
start100ms,131.50280981091782,96.18819601240102,1.9238812022376806,1.0403145452728495,1.907054333598353,1.448108105105348,50
