model,raw,start1000ms,start100ms,start200ms,start500ms,start50ms
knn.pickle,0.5149633002723888,0.7127221100214047,0.9706703697628074,0.9459550833132094,0.7645917676191286,0.9542032039446013
qda.pickle,0.06923298731257209,0.06923298731257209,0.06923298731257209,0.06923298731257209,0.06923298731257209,0.06923298731257209
adaboost.pickle,0.657608695652174,0.657608695652174,0.657608695652174,0.657608695652174,0.657608695652174,0.657608695652174
tree.pickle,0.8339729239953098,0.7934313725490195,0.9875332045399662,0.975,0.8309010503040354,0.9667311827956989
forest.pickle,0.8464379084967321,0.8459952861952862,0.9791412993478907,0.975,0.8384915329768271,0.9791885521885522
gaussiannb.pickle,0.8166995273652712,0.8439608636977058,0.9875332045399662,0.9707978190870471,0.8340932140193885,0.9916666666666667
