model,raw,start1000ms,start100ms,start200ms,start500ms,start50ms
knn.pickle,0.5083333333333333,0.7083333333333334,0.9708333333333333,0.9458333333333333,0.7625,0.9541666666666666
qda.pickle,0.20416666666666666,0.20416666666666666,0.20416666666666666,0.20416666666666666,0.20416666666666666,0.20416666666666666
adaboost.pickle,0.7375,0.7375,0.7375,0.7375,0.7375,0.7375
tree.pickle,0.8333333333333334,0.7958333333333333,0.9875,0.975,0.8333333333333334,0.9666666666666667
forest.pickle,0.8458333333333333,0.8458333333333333,0.9791666666666666,0.975,0.8416666666666667,0.9791666666666666
gaussiannb.pickle,0.8208333333333333,0.8458333333333333,0.9875,0.9708333333333333,0.8458333333333333,0.9916666666666667
