filters,adaboost.pickle,forest.pickle,gaussiannb.pickle,knn.pickle,qda.pickle,tree.pickle,datapoints,repetitions,total_inferences
raw,247.88732520211488,168.6742468061857,106.87713975599036,199.55878990283236,218.62037736480124,39.75971366488375,1200,10,12000
start50ms,247.78724350198172,909.0587606988847,107.29269609693438,178.07402642210945,218.449157029856,39.88354557589628,1200,10,12000
start500ms,246.2903018819634,495.5945303121116,106.56710642506368,183.2202752761077,218.2342685740441,40.17277913191356,1200,10,12000
start200ms,247.0276546201203,291.2819610219449,106.55479244608432,178.55542183411308,219.37232933798805,40.0869935520459,1200,10,12000
start1000ms,247.80215233704075,905.7802721508779,106.40021645906381,184.2682965558488,217.60332808294334,39.912765006069094,1200,10,12000
start100ms,247.14738857606426,169.43182598915882,106.46262654080056,177.84667795617133,217.5083357070107,40.255300420103595,1200,10,12000
