model,raw,start1000ms,start100ms,start200ms,start500ms,start50ms
knn.pickle,0.5100492795209282,0.7009495563257092,0.9685822678073711,0.9422178323390116,0.7508767000382182,0.9527246719675293
qda.pickle,0.08477508650519032,0.08477508650519032,0.08477508650519032,0.08477508650519032,0.08477508650519032,0.08477508650519032
adaboost.pickle,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6521739130434783
tree.pickle,0.8209146146466262,0.7803921568627451,0.9864766964501328,0.9727891156462585,0.814262023217247,0.9638709677419355
forest.pickle,0.834173669467787,0.8325656565656565,0.9772708823768164,0.9727891156462585,0.822192513368984,0.9773737373737373
gaussiannb.pickle,0.7979696283245238,0.8288027761711972,0.9864766964501328,0.9681792353275428,0.814586129753915,0.9909297052154195
