filters,adaboost.pickle,forest.pickle,gaussiannb.pickle,knn.pickle,qda.pickle,tree.pickle,datapoints,repetitions,total_inferences
raw,246.6490117290523,170.5264620129019,107.11334886401892,200.70626512309536,218.32565256999806,40.32186386291869,1200,10,12000
start50ms,247.00198485678993,909.6379842818715,107.32322097197175,179.35544473305345,217.38750446098857,40.02114898106083,1200,10,12000
start500ms,247.9525454759132,498.8657513228245,107.3501310790889,184.53030902100727,217.20205134898424,40.54037927603349,1200,10,12000
start200ms,247.5751407961361,294.9669048078358,107.00810618093237,180.17315853503533,218.18782991496846,40.37951533216983,1200,10,12000
start1000ms,247.10518253198825,913.10023592785,107.71982208802365,186.79917118302546,216.72259629913606,39.935771805932745,1200,10,12000
start100ms,246.65201620897278,170.83476148708723,112.38409144617617,179.58182890387252,217.23986317100935,40.29483095998876,1200,10,12000
