filters,adaboost.pickle,forest.pickle,gaussiannb.pickle,knn.pickle,qda.pickle,tree.pickle,datapoints,repetitions,total_inferences
raw,247.15397531096824,170.34442973299883,106.9181046509184,201.3795044098515,218.12873317697085,40.13297045393847,1200,10,12000
start50ms,245.9516327038873,909.9833603771403,106.23765187291428,179.49426806089468,217.14469430805184,40.09211980900727,1200,10,12000
start500ms,246.94440660788678,501.7906682328321,106.92212937097065,183.51948357606307,218.50912172882818,40.48624273692258,1200,10,12000
start200ms,246.48250777786598,295.2895067818463,106.49447290995158,179.66038991510868,218.1085686830338,40.26223360095173,1200,10,12000
start1000ms,248.15246974211186,914.9265809939243,106.51385638699867,186.97143588704057,216.77291747997515,40.296732048969716,1200,10,12000
start100ms,247.36957039008848,170.28182021295652,106.69870818592608,180.33142762095667,216.8655090960674,40.63573587290011,1200,10,12000
