filters,adaboost.pickle,forest.pickle,gaussiannb.pickle,knn.pickle,qda.pickle,tree.pickle,datapoints,repetitions,total_inferences
raw,244.15906181000173,167.621062614955,104.9052023771219,198.0651105849538,217.46086337789893,39.49660107004456,1200,10,12000
start50ms,244.2184089841321,898.8551791829523,104.50636259885505,177.50456667295657,216.57319984398782,39.255576346069574,1200,10,12000
start500ms,243.868214514805,494.409105875995,104.47327094408683,182.33180502196774,216.9261135419365,39.70510446606204,1200,10,12000
start200ms,248.49837960093282,291.0386067829095,105.18767463602126,179.05151540087536,217.4440313479863,39.82070359005593,1200,10,12000
start1000ms,244.5803154639434,904.1245971738826,104.85486774612218,184.57514562713914,216.00785304396413,39.20637699402869,1200,10,12000
start100ms,245.2979316720739,168.20369678991847,104.74267461290583,177.89082315005362,215.48148580291308,39.41127758100629,1200,10,12000
