filters,adaboost.pickle,forest.pickle,gaussiannb.pickle,knn.pickle,qda.pickle,tree.pickle,datapoints,repetitions,total_inferences
raw,246.0144557339372,167.19729911501054,105.80213681003079,199.72422190289944,216.90353940508794,40.14192416903097,1200,10,12000
start50ms,244.70417716004886,897.5555988739943,106.23456141597126,178.78490879398305,216.13907470996492,39.66963074496016,1200,10,12000
start500ms,245.3925081199268,493.4993892579805,106.25889953493606,182.54250709002372,217.36053704400547,39.848119172034785,1200,10,12000
start200ms,245.5098589969566,290.2984754149802,105.46647391107399,178.79626520804595,217.03174665395636,39.96946539194323,1200,10,12000
start1000ms,245.59402022405993,901.8611516550882,106.10340164799709,184.87385238101706,214.87696259096265,39.73771118395962,1200,10,12000
start100ms,245.89597616903484,168.09896301396657,105.89366786298342,178.44891935097985,216.15103444305714,39.92159776191693,1200,10,12000
