filters,adaboost.pickle,forest.pickle,gaussiannb.pickle,knn.pickle,qda.pickle,tree.pickle,datapoints,repetitions,total_inferences
raw,245.35108761605807,166.97480091289617,104.91110752802342,198.05298186908476,217.1230084830895,40.023263305891305,1200,10,12000
start50ms,244.41913260007277,894.4324265702162,104.60327758803032,176.62187353800982,215.94575609709136,39.49821368884295,1200,10,12000
start500ms,244.2445156709291,488.2013099398464,104.93334068986587,181.29889168706723,216.12560854805633,39.95167936687358,1200,10,12000
start200ms,244.57129768189043,287.5984820451122,104.91965481988154,177.12551066908054,216.62819845601916,39.748495683074,1200,10,12000
start1000ms,244.89137396286242,892.8339948151261,105.25825085211545,183.41568237007596,214.52898327098228,39.56524949287996,1200,10,12000
start100ms,245.304787150817,167.11735538812354,105.2767876337748,176.57968371291645,216.0062168398872,39.8688569359947,1200,10,12000
