filters,adaboost.pickle,forest.pickle,gaussiannb.pickle,knn.pickle,qda.pickle,tree.pickle,datapoints,repetitions,total_inferences
raw,246.66271527309436,169.98560498992447,106.39794657099992,199.63439478201326,217.53840075596236,40.396697474992834,1200,10,12000
start50ms,247.68538223404903,909.6815413529985,105.71368838311173,178.11626010003965,216.64371613098774,40.02565409510862,1200,10,12000
start500ms,248.20422484597657,498.76720124995336,106.33443214907311,183.87536696705502,217.77880043606274,40.15151072992012,1200,10,12000
start200ms,247.18538220890332,292.8681204901077,106.49530619103462,179.51545801595785,217.46134614897892,40.137192321009934,1200,10,12000
start1000ms,248.06831497396342,910.3775359760039,105.52362119208556,186.19115522294305,215.86948067508638,40.10336448496673,1200,10,12000
start100ms,248.5352271560114,170.26375169900712,106.04271900793537,178.21306870004628,215.22359350998886,40.21304438402876,1200,10,12000
