filters,adaboost.pickle,forest.pickle,gaussiannb.pickle,knn.pickle,qda.pickle,tree.pickle,datapoints,repetitions,total_inferences
raw,250.00320231704973,170.60442072502337,106.9222319140099,201.80456359591335,217.91939575015567,40.28527170303278,1200,10,12000
start50ms,249.61848101811484,916.5793363850098,105.92614342784509,180.406572121894,217.84259037999436,40.445514775114134,1200,10,12000
start500ms,247.86901852791198,503.72747509903274,106.18794241407886,184.91283503593877,216.2527687761467,39.99651444796473,1200,10,12000
start200ms,248.6202257699333,296.2349060308188,105.9555085238535,181.47374608693644,216.89225805085152,40.15565688395873,1200,10,12000
start1000ms,249.4791866641026,921.3375194780529,106.65020114579238,187.37868140311912,216.91758269211277,40.41459629498422,1200,10,12000
start100ms,251.2666142839007,171.41733479709364,106.97443089284934,180.44243474700488,216.8516787039116,40.70146725396626,1200,10,12000
