filters,adaboost.pickle,forest.pickle,gaussiannb.pickle,knn.pickle,qda.pickle,tree.pickle,datapoints,repetitions,total_inferences
raw,244.88069528597407,168.51358888298273,107.09644787397701,199.77346135489643,219.17153252696153,39.78867218992673,1200,10,12000
start50ms,245.41938772902358,896.6814194789622,106.53504538699053,178.30196265107952,218.57840125006624,39.56510914803948,1200,10,12000
start500ms,244.36611101496965,492.14767946698703,106.49763093900401,182.98088766995352,218.3402457680786,39.77941245492548,1200,10,12000
start200ms,244.66953463596292,289.42586991901044,106.77915047307033,178.00162639992777,219.14394055400044,40.145586356986314,1200,10,12000
start1000ms,245.11859364202246,900.0926373619586,106.22792644100264,185.51087717304472,218.02399530587718,39.68881570082158,1200,10,12000
start100ms,246.59034015703946,168.5364106928464,106.65181162697263,178.54412246518768,218.223584508989,39.715504930121824,1200,10,12000
