filters,adaboost.pickle,forest.pickle,gaussiannb.pickle,knn.pickle,qda.pickle,tree.pickle,datapoints,repetitions,total_inferences
raw,249.85634210612625,172.17616270692088,107.89479348086752,202.0330749109853,219.92446452192962,40.38360578310676,1200,10,12000
start50ms,249.35563489003107,923.4103277651593,113.07298474316485,180.3621218269691,219.77282635099255,40.045896934811026,1200,10,12000
start500ms,250.04658230300993,504.37369027594104,107.5725269371178,184.7061896349769,219.37394715310074,40.179637875873595,1200,10,12000
start200ms,248.0906620209571,296.1269394138362,107.64026372996159,181.42669794498943,220.11802558391355,40.415483547141775,1200,10,12000
start1000ms,248.77681430312805,921.0447836699896,106.97009960212745,186.82749573211186,222.99373152898625,39.905423167860135,1200,10,12000
start100ms,248.6003747060895,171.1209458860103,107.26063201017678,180.40592910698615,218.59224872593768,40.44595247111283,1200,10,12000
