total_inferences=120000,adaboost.pickle,forest.pickle,gaussiannb.pickle,knn.pickle,qda.pickle,tree.pickle
raw,0.02057181560320314045,0.01410515065416499680,0.00887365383188298482,0.01667276973697104717,0.01817596639944046508,0.00333942153064805715
start1000ms,0.02057973686537685823,0.07571232757668962254,0.00885185219634440808,0.01547343161279471357,0.01808597859141688330,0.00332305671817060416
start100ms,0.02060550188725076767,0.01412755721630140453,0.00890323458183750818,0.01490237429761812928,0.01806786292090643495,0.00334552973809283368
start200ms,0.02056858870091382574,0.02437608143923668258,0.00885417836518220987,0.01494816491675058680,0.01816990228943080390,0.00334267771882781157
start500ms,0.02054315357469410283,0.04142814000861253648,0.00885914508736071471,0.01528265459150134065,0.01813419552432702850,0.00334009483048769949
start50ms,0.02055134554731775920,0.07554896612472657147,0.00889538027071491016,0.01489185004100824355,0.01812064100468317729,0.00332085341749091935
